time,rad2,rad3
0,0.003642366,0.004284581
1,0.068972785,0.004896708
2,0.068980044,0.004897223
3,0.503056956,0.002855825
4,0.503162852,0.002856427
5,0.822165652,0.004491287
6,0.822252182,0.004491759
7,1.131205166,0.004410102
8,1.131324222,0.004410566
9,1.201188056,0.004452572
10,1.201314477,0.004453041
11,1.033143421,0.004698746
12,1.033252156,0.00469924
13,0.915914475,0.004578215
14,0.916010873,0.004578697
15,0.802882161,0.004414746
16,0.802966662,0.00441521
17,0.669475483,0.004456792
18,0.669616411,0.00445773
19,0.586901903,0.004458199
20,0.586963672,0.004458668
21,0.475169561,0.00437686
22,0.475219571,0.004377321
23,0.405569243,0.004625152
24,0.405611928,0.004625639
25,0.321355186,0.003969877
26,0.321389008,0.003970295
27,0.273449267,0.003847463
28,0.273506829,0.003848273
29,0.231363714,0.003480614
30,0.231388064,0.003480981
31,0.174686543,0.004095859
32,0.174704928,0.00409629
33,0.145060339,0.004015119
34,0.145075606,0.004015541
35,0.108563468,0.004590759
36,0.108574894,0.004591243
37,0.088945331,0.004755822
38,0.088954692,0.004756323
39,0.072656394,0.005044172
40,0.07266404,0.005044703
41,0.051409012,0.00381311
42,0.051419834,0.003813913
43,0.04064487,0.003733092
44,0.040649148,0.003733485
45,0.028267955,0.003527556
46,0.028270931,0.003527927
47,0.02215507,0.004432903
48,0.022157401,0.004433369
49,0.015147325,0.004269982
50,0.015148919,0.004270431
51,0.011650862,0.004229586
52,0.011653315,0.004230476
53,0.007964161,0.003572578
54,0.007964999,0.003572954
55,0.006390165,0.003943888
56,0.00639151,0.003944718
57,0.00487439,0.003986204
58,0.004874903,0.003986624
59,0.005196555,0.004563454
60,0.005197102,0.004563934
61,0.003717569,0.003783096
62,0.003717961,0.003783495
63,0.004556674,0.004730003
64,0.004557154,0.004730501
65,0.003672389,0.003948871
66,0.003673162,0.003949703
67,0.004320887,0.004609641
68,0.004321342,0.004610126
69,0.004137639,0.00481627
70,0.004138075,0.004816777
71,0.004045376,0.004405049
72,0.004045802,0.004405513
73,0.002936313,0.003664438
74,0.002936622,0.003664823
75,0.003214541,0.00387102
76,0.003215218,0.003871835
77,0.003817186,0.004449729
78,0.003817588,0.004450198
79,0.00307737,0.003130972
80,0.003077694,0.003131302
81,0.005299175,0.006058487
82,0.005299733,0.006059125
83,0.002940024,0.00399923
84,0.002940333,0.003999651
85,0.003311508,0.004412937
86,0.003311857,0.004413402
87,0.003776596,0.00433219
88,0.003776994,0.004332646
89,0.003266014,0.00416751
90,0.003266702,0.004168387
91,0.003731681,0.004582222
92,0.003732074,0.004582705
93,0.00354628,0.004458636
94,0.003546653,0.004459105
95,0.00322301,0.004253691
96,0.003223349,0.004254139
97,0.003316391,0.008147557
98,0.00331674,0.008148414
99,0.002714104,0.024171067
100,0.002714676,0.024176155
101,0.004294077,0.033399985
102,0.004294529,0.033403501
103,0.002900487,0.041850815
104,0.002900792,0.04185522
105,0.00401735,0.047971475
106,0.004017773,0.047976524
107,0.003878673,0.060718925
108,0.003879081,0.060725316
109,0.003600385,0.069051729
110,0.003601143,0.069066264
111,0.004159907,0.078306472
112,0.004160345,0.078314714
113,0.002579339,0.088728457
114,0.002579882,0.088747135
115,0.001834758,0.097343724
116,0.001834951,0.09735397
117,0.002860095,0.110898487
118,0.002860396,0.110910159
119,0.003512642,0.11913474
120,0.003513012,0.119147279
121,0.002674746,0.122284756
122,0.002675028,0.122297626
123,0.003048066,0.134291945
124,0.003048707,0.134320215
125,0.00272326,0.144756292
126,0.002723547,0.144771527
127,0.002956469,0.156513915
128,0.00295678,0.156530387
129,0.003562739,0.164383907
130,0.003563114,0.164401208
131,0.003657771,0.172240727
132,0.003658156,0.172258854
133,0.003145187,0.178796869
134,0.003145849,0.178834507
135,0.002586678,0.182766495
136,0.002586951,0.182785731
137,0.003286011,0.189328286
138,0.003286357,0.189348212
139,0.003334239,0.191998221
140,0.00333459,0.192018429
141,0.003615193,0.198565388
142,0.004409213,0.199891774
143,0.004409677,0.199912812
144,0.00403727,0.202566694
145,0.004037695,0.202588014
146,0.003289817,0.198690812
147,0.003290163,0.198711723
148,0.002777065,0.197446966
149,0.002777358,0.197467747
150,0.003291549,0.192261081
151,0.003291895,0.192281316
152,0.003527089,0.189687279
153,0.003527832,0.189727209
154,0.00306028,0.187132077
155,0.003060602,0.187151772
156,0.003388554,0.185863644
157,0.003388911,0.185883206
158,0.003155465,0.184614097
159,0.003155797,0.184633527
160,0.001567241,0.178110391
161,0.001567406,0.178129136
162,0.002454909,0.178147884
163,0.002455426,0.178185385
164,0.00311091,0.174276531
165,0.003111237,0.174294874
166,0.003860414,0.17300374
167,0.003861226,0.173040158
168,0.003252998,0.167818804
169,0.003534893,0.167836466
170,0.003535265,0.167854131
