time,rad2,rad3
0,0.006693848,0.006747618
1,0.006695257,0.006749038
2,0.012724426,0.006497964
3,0.012725765,0.006498648
4,0.381143604,0.006373017
5,0.381183718,0.006373688
6,0.591956616,0.006753301
7,0.592018917,0.006754012
8,0.805060117,0.007324134
9,0.805144847,0.007324905
10,0.912958702,0.006504807
11,0.913054788,0.006505491
12,1.032033227,0.007391511
13,1.032141845,0.007392289
14,1.097428486,0.006635314
15,1.097543987,0.006636012
16,1.17620803,0.007711192
17,1.176331822,0.007712004
18,1.212371085,0.006763259
19,1.212626295,0.006764682
20,1.255416994,0.008031207
21,1.255549123,0.008032053
22,1.273648447,0.007653273
23,1.273916556,0.007654884
24,1.294270093,0.007403189
25,1.294406311,0.007403968
26,1.305777942,0.006897651
27,1.306052815,0.006899103
28,1.310685851,0.006899829
29,1.310823797,0.006900556
30,1.32220307,0.007408645
31,1.3224814,0.007410204
32,1.318122642,0.008107585
33,1.318261371,0.008108438
34,1.316150668,0.007665364
35,1.316427724,0.007666978
36,1.309815805,0.007731507
37,1.30995366,0.007732321
38,1.278582711,0.007163493
39,1.278851859,0.007165001
40,1.247467687,0.00767182
41,1.247598979,0.007672628
42,1.186931295,0.006848415
43,1.187056216,0.006849136
44,1.133245485,0.007041947
45,1.133364756,0.007042688
46,1.06138805,0.00685202
47,1.061499757,0.006852741
48,0.998619298,0.004757985
49,0.998724399,0.004758485
50,0.90415372,0.00622063
51,0.904248879,0.006221284
52,0.845811897,0.006413387
53,0.845900917,0.006414062
54,0.751264321,0.006351066
55,0.751343389,0.006351734
56,0.690587278,0.006989182
57,0.69065996,0.006989918
58,0.604983404,0.006545322
59,0.605047076,0.006546011
60,0.544170834,0.005719767
61,0.544285385,0.005720972
62,0.490156745,0.006866457
63,0.490208333,0.00686718
64,0.417996818,0.006741999
65,0.418084809,0.006743418
66,0.368432237,0.006169985
67,0.368471013,0.006170635
68,0.302986883,0.005661805
69,0.303050663,0.005662997
70,0.266920572,0.005855608
71,0.266948664,0.005856225
72,0.217017501,0.00706719
73,0.201913976,0.006175832
74,0.201935227,0.006176482
75,0.161700859,0.006304623
76,0.161717877,0.006305286
77,0.136173983,0.006625243
78,0.136202648,0.006626638
79,0.107932706,0.006627336
80,0.107944066,0.006628033
81,0.089849679,0.006947191
82,0.089868593,0.006948653
83,0.068144294,0.006694937
84,0.068151466,0.006695641
85,0.057742354,0.007143226
86,0.057754509,0.00714473
87,0.044169839,0.006953042
88,0.044174488,0.006953774
89,0.036702652,0.006954506
90,0.036710378,0.00695597
91,0.028328869,0.007403959
92,0.02833185,0.007404738
93,0.023279881,0.008298214
94,0.023284782,0.00829996
95,0.017550433,0.009384448
96,0.01755228,0.009385435
97,0.015036661,0.010470265
98,0.015039827,0.010472469
99,0.011592981,0.014187905
100,0.011594201,0.014189399
101,0.00907663,0.015656857
102,0.009078541,0.015660153
103,0.007513267,0.023676933
104,0.007514058,0.023679425
105,0.008513814,0.030372646
106,0.008515606,0.03037904
107,0.006572447,0.039225631
108,0.006573139,0.03922976
109,0.007518804,0.046068859
110,0.007520387,0.046078557
111,0.006287326,0.052116167
112,0.006287988,0.052121652
113,0.006145465,0.05454075
114,0.006146759,0.054552231
115,0.006220157,0.05757594
116,0.006220812,0.057582
117,0.004781844,0.067650072
118,0.004782851,0.067664312
119,0.007961287,0.075119673
120,0.007962125,0.075127579
121,0.007371422,0.183459711
122,0.007372973,0.18349833
123,0.006370087,0.206679761
124,0.006370758,0.206701513
125,0.006371428,0.217803135
126,0.006372099,0.217826058
127,0.005870207,0.211826439
128,0.005870824,0.211848733
129,0.004645207,0.227995682
130,0.004645696,0.228019678
131,0.007677689,0.272424473
132,0.007678497,0.272453145
133,0.006305217,0.310798026
134,0.006305881,0.310830737
135,0.007317015,0.33106896
136,0.007317785,0.331103804
137,0.004578052,0.355351098
138,0.004578533,0.355388498
139,0.006239827,0.373628378
140,0.006240484,0.373667701
141,0.006384853,0.401969751
142,0.006312521,0.410087971
143,0.006313849,0.410174296
144,0.005810167,0.430413625
145,0.005810778,0.430458925
146,0.006605733,0.454744722
147,0.006607123,0.454840448
148,0.005306329,0.469033071
149,0.005306888,0.469082435
150,0.008267245,0.497427264
151,0.008268115,0.497479617
152,0.006538192,0.507693051
153,0.00653888,0.507746484
154,0.007768897,0.528021604
155,0.007769715,0.528077177
156,0.006614776,0.538302373
157,0.006615473,0.538359027
158,0.00603776,0.55662478
159,0.006038396,0.556683363
160,0.006545077,0.56084829
161,0.006545765,0.560907318
162,0.006402348,0.573112136
163,0.006403022,0.573172454
164,0.00633115,0.575318046
165,0.006331816,0.575378597
166,0.006840553,0.575439153
167,0.006841273,0.575499717
168,0.005684312,0.571568857
169,0.00568491,0.571629013
170,0.007418896,0.606138466
171,0.007419677,0.60620226
172,0.007489955,0.600248663
173,0.007490743,0.600311837
174,0.005615189,0.596320027
175,0.00561578,0.596382788
176,0.006125728,0.592452058
177,0.006126373,0.592514412
178,0.00670695,0.584462522
179,0.006707656,0.584524034
180,0.006055578,0.57855947
181,0.006056216,0.578620362
182,0.006492605,0.58071089
183,0.006493288,0.580772008
184,0.006712599,0.572773178
185,0.006713306,0.572833461
186,0.006349165,0.54243327
187,0.006349833,0.54249036
188,0.005987873,0.503956059
189,0.005989133,0.504062144
190,0.007006823,0.50005166
191,0.00700756,0.500104289
192,0.006719668,0.492079927
193,0.006720375,0.492131717
194,0.007442357,0.492183512
195,0.00744314,0.492235313
196,0.006576147,0.49437241
197,0.006576839,0.494424441
198,0.00585128,0.492442571
199,0.005851896,0.492494399
200,0.005561156,0.490563522
201,0.007518386,0.492649916
202,0.007519177,0.492701766
203,0.006291922,0.403205191
204,0.006293246,0.403290067
205,0.004837523,0.385010004
206,0.004838032,0.385050525
207,0.007022325,0.381018525
208,0.007023804,0.381098731
209,0.007388204,0.372991218
210,0.007388981,0.373030474
211,0.00651725,0.364920396
212,0.006518622,0.364997213
213,0.004478972,0.36299765
214,0.004479443,0.363035854
215,0.007693084,0.354920435
216,0.007694703,0.354995148
217,0.004481329,0.346876307
218,0.004481801,0.346912815
219,0.006961978,0.338791407
220,0.006963444,0.338862724
221,0.007768722,0.334818141
222,0.00776954,0.33485338
223,0.005944186,0.320604749
224,0.005945437,0.320672238
225,0.005946063,0.314582394
226,0.005946689,0.314615503
227,0.006311818,0.306482106
228,0.006313147,0.306546622
229,0.006823816,0.296367525
230,0.006824534,0.296398717
231,0.005950445,0.290301806
232,0.005951697,0.290362916
233,0.007273031,0.282220088
234,0.007273797,0.282249791
235,0.006463957,0.274104388
236,0.006465318,0.274162089
237,0.006392074,0.263968831
238,0.006392747,0.263996613
239,0.00544375,0.253800133
240,0.005444323,0.253826845
241,0.006323786,0.24978928
242,0.006324452,0.249815569
243,0.005959846,0.237566287
244,0.005960473,0.23759129
245,0.005374333,0.233548154
246,0.006912924,0.229479153
247,0.006913652,0.229503305
248,0.006109349,0.221338573
249,0.006110635,0.221385166
250,0.00772879,0.215264863
251,0.007729603,0.215287519
252,0.005892684,0.207116981
253,0.005893925,0.20716058
254,0.006040406,0.198167022
255,0.006041042,0.198187878
256,0.006481669,0.19431492
257,0.006483033,0.194355824
258,0.005971775,0.187816202
259,0.005972403,0.187835969
260,0.006264969,0.181909417
261,0.006265628,0.181928562
262,0.006195099,0.177044211
263,0.006195751,0.177062844
264,0.006562676,0.171132028
265,0.006563366,0.171150039
266,0.005609356,0.165439955
267,0.005609946,0.165457367
268,0.005758978,0.158290629
269,0.005759584,0.158307289
270,0.005171483,0.15464474
271,0.005172027,0.154661016
272,0.004659714,0.14748936
273,0.004660204,0.147504883
274,0.007451454,0.145070721
275,0.007452238,0.145085989
276,0.007244057,0.140580751
277,0.007244819,0.140595547
278,0.00503107,0.136514293
279,0.0050316,0.136528661
280,0.005178018,0.131403386
281,0.005178563,0.131417215
282,0.006429857,0.127126215
283,0.006430534,0.127139594
284,0.005401551,0.122010626
285,0.005402119,0.122023467
286,0.005919411,0.118139734
287,0.005920034,0.118152168
288,0.006362505,0.114048558
289,0.006363174,0.114060561
290,0.006069081,0.111614165
291,0.006069719,0.111625912
292,0.005260654,0.106078075
293,0.005261761,0.106100405
294,0.005851165,0.105081694
295,0.005851781,0.105092753
296,0.007032673,0.098717226
297,0.007034153,0.098738007
298,0.005782055,0.096893643
299,0.005782664,0.09690384
300,0.006444761,0.092791492
301,0.006446118,0.092811025
302,0.006595911,0.091171253
303,0.006596606,0.091180848
304,0.005564927,0.087065727
305,0.005566099,0.087084055
306,0.006893108,0.08503021
307,0.006893833,0.085039159
308,0.007043784,0.082778321
309,0.007045266,0.082795746
310,0.007720064,0.080946774
311,0.007720877,0.080955293
312,0.004979639,0.077867018
313,0.004980163,0.077875213
314,0.005350854,0.078098124
315,0.005351417,0.078106344
316,0.004686764,0.07150459
317,0.004687257,0.071512116
318,0.003728628,0.0694609
319,0.003729021,0.06946821
320,0.007054912,0.068028829
321,0.007055654,0.068035989
322,0.005134095,0.066396425
323,0.005134636,0.066403413
324,0.006023533,0.067030739
325,0.006024167,0.067037794
326,0.006689225,0.05484808
327,0.006689929,0.054853853
328,0.006173984,0.053204522
329,0.006174634,0.053210121
330,0.005805836,0.052387995
331,0.005807058,0.052399023
332,0.006399439,0.051783547
333,0.006400113,0.051788997
334,0.006031145,0.051587407
335,0.006032415,0.051598266
336,0.005588403,0.04994685
337,0.005588991,0.049952107
338,0.006181786,0.048507318
339,0.006183087,0.048517529
340,0.005738858,0.047279345
341,0.005739462,0.047284321
342,0.006407526,0.047496557
343,0.006408875,0.047506555
344,0.005816845,0.044609019
345,0.005817457,0.044613714
346,0.005890709,0.045240512
347,0.005891949,0.045250036
348,0.005819907,0.0433879
349,0.005820519,0.043392467
350,0.00611653,0.042774603
351,0.006117818,0.042783608
352,0.006488999,0.042788111
353,0.006489682,0.042792614
354,0.00611975,0.040513672
355,0.006120394,0.040517936
356,0.00575095,0.038657602
357,0.005751555,0.03866167
358,0.006050217,0.038665739
359,0.006050854,0.038669809
360,0.005977003,0.035977058
361,0.005977632,0.035980845
362,0.005456974,0.035569023
363,0.005457549,0.035572766
364,0.006649579,0.036827475
365,0.006650279,0.036831351
366,0.00709736,0.037251056
367,0.007098107,0.037254976
368,0.006577875,0.034559084
369,0.006578568,0.034562721
370,0.006431172,0.035190429
371,0.006431849,0.035194133
372,0.005092866,0.031244561
373,0.005093938,0.031251138
374,0.007029574,0.031878826
375,0.007030314,0.031882181
376,0.006435911,0.031469183
377,0.006437266,0.031475807
378,0.005990857,0.030229666
379,0.005991488,0.030232847
380,0.005544938,0.028986312
381,0.005546105,0.028992414
382,0.006142333,0.029412169
383,0.006142979,0.029415265
384,0.00569621,0.029001569
385,0.005697409,0.029007674
386,0.005549609,0.026696802
387,0.005550193,0.026699612
388,0.005402345,0.023574839
389,0.005403482,0.023579801
390,0.005328633,0.023519711
391,0.005329194,0.023522187
392,0.005329755,0.023775001
393,0.005330316,0.023777503
394,0.00600348,0.023594695
395,0.006004112,0.023597179
396,0.005929271,0.023390937
397,0.005929895,0.023393399
398,0.005558376,0.023795026
399,0.005558961,0.023797531
400,0.005484033,0.023006462
401,0.005484611,0.023008884
402,0.005710015,0.023556869
403,0.005710616,0.023559349
404,0.005935514,0.022161898
405,0.005936139,0.02216423
406,0.005339861,0.021625468
407,0.005340423,0.021627744
408,0.006314239,0.021504587
409,0.006314903,0.02150685
410,0.005940514,0.020173004
411,0.005941139,0.020175127
412,0.005792863,0.019989002
413,0.005793473,0.019991106
414,0.00542114,0.019723314
415,0.005421711,0.01972539
416,0.005346609,0.019915813
417,0.005347172,0.019917909
418,0.006022465,0.020257048
419,0.006023099,0.02025918
420,0.005874675,0.019067817
421,0.005875293,0.019069823
422,0.005949899,0.018215088
423,0.005950525,0.018217005
424,0.005501375,0.017674234
425,0.005501954,0.017676094
426,0.005503112,0.017616947
427,0.005503692,0.017618801
428,0.005954284,0.017956024
429,0.00595491,0.017957914
430,0.005581824,0.017626219
431,0.005582412,0.017628074
432,0.005433706,0.016833009
433,0.005434278,0.016834781
434,0.005885814,0.016439738
435,0.005886433,0.016441469
436,0.005436566,0.015960599
437,0.005437138,0.015962278
438,0.005888912,0.016112563
439,0.005889532,0.016114259
440,0.005963691,0.015234221
441,0.005964318,0.015235824
442,0.005816076,0.015449034
443,0.005816688,0.01545066
444,0.005741349,0.015725348
445,0.005741953,0.015727003
446,0.005669561,0.015184018
447,0.005670158,0.015185616
448,0.005594763,0.014914009
449,0.005595352,0.014915579
450,0.006349557,0.01458236
451,0.006350225,0.014583895
452,0.005823426,0.014396188
453,0.005824039,0.014397703
454,0.005449742,0.013664562
455,0.005450315,0.013666
456,0.005524583,0.013393946
457,0.005525164,0.013395355
458,0.006053602,0.013523019
459,0.006054876,0.013525866
460,0.005679713,0.014074563
461,0.00635825,0.013528713
462,0.006358919,0.013530137
463,0.005379911,0.013954142
464,0.005380477,0.013955611
465,0.005683301,0.0132199
466,0.005683899,0.013221291
467,0.005835082,0.012402386
468,0.005835696,0.012403691
469,0.006138727,0.012215336
470,0.006139373,0.012216622
471,0.005688088,0.011734353
472,0.005688687,0.011735588
473,0.005536806,0.011209712
474,0.005537389,0.011210892
475,0.005464674,0.010601609
476,0.005465249,0.010602725
477,0.005992632,0.011489854
478,0.005993262,0.011491064
479,0.006674105,0.011683403
480,0.006674808,0.011684632
481,0.006148426,0.012572342
482,0.006149073,0.012573665
483,0.003959831,0.010674989
484,0.003960665,0.010677236
485,0.005924968,0.011839837
486,0.005925591,0.011841083
487,0.006530064,0.012243652
488,0.006531439,0.012246229
489,0.004263993,0.01049382
490,0.004264441,0.010494925
491,0.00630664,0.011362496
492,0.006307968,0.011364888
493,0.006535564,0.012042564
494,0.006536252,0.012043832
495,0.005175535,0.010628421
496,0.005176624,0.010630658
497,0.005327263,0.010843288
498,0.005327823,0.010844429
499,0.004951398,0.010295526
500,0.00495244,0.010297693
501,0.004497901,0.010510399
502,0.004498374,0.010511505
503,0.007225482,0.012205949
504,0.007227003,0.012208519
505,0.005409433,0.010579452
506,0.005410003,0.010580565
507,0.005259332,0.010179299
508,0.005260439,0.010181442
509,0.006245322,0.011199372
510,0.00624598,0.011200551
511,0.00465682,0.009718499
512,0.0046578,0.009720545
513,0.004960787,0.009318849
514,0.004961309,0.00931983
515,0.005794768,0.011144025
516,0.005795378,0.011145198
517,0.006479549,0.010808234
518,0.006480231,0.010809372
519,0.006406611,0.010810509
520,0.006407286,0.010811647
521,0.00428198,0.009052828
522,0.004282431,0.009053781
523,0.005345234,0.009457961
524,0.005345796,0.009458956
525,0.006107355,0.011159282
526,0.006107997,0.011160456
527,0.006487737,0.010269818
528,0.00648842,0.010270898
529,0.005577746,0.009742052
530,0.005578333,0.009743077
531,0.006035036,0.01123124
532,0.006035671,0.011232422
533,0.006341915,0.010618492
534,0.006342583,0.01061961
535,0.005886894,0.010216863
536,0.005887514,0.010217939
537,0.005279851,0.010155233
538,0.005280963,0.01015737
539,0.005813092,0.010286042
540,0.005813704,0.010287125
541,0.005814316,0.010628555
542,0.00581554,0.010630792
543,0.00634993,0.01050424
544,0.006350598,0.010505346
545,0.006274309,0.010634149
546,0.00627563,0.010636387
547,0.006124733,0.00995624
548,0.006125378,0.009957288
549,0.00551726,0.009702807
550,0.005518422,0.009704849
551,0.006050935,0.00915205
552,0.006051572,0.009153013
553,0.006434992,0.01017663
554,0.006436347,0.010178772
555,0.008789837,0.011671684
556,0.008790762,0.011672913
557,0.007047783,0.010373835
558,0.007049266,0.010376019
559,0.005524814,0.009097717
560,0.005525395,0.009098675
561,0.007126201,0.010997799
562,0.007127701,0.011000114
563,0.004611642,0.007807504
564,0.004612127,0.007808326
565,0.005603634,0.009509862
566,0.005604814,0.009511864
