time,rad2,rad3
0,0.005762829,0.005605203
1,0.005763436,0.005605793
2,0.073571708,0.004843137
3,0.073579451,0.004843647
4,0.352167538,0.00421548
5,0.352204603,0.004215924
6,0.525948532,0.004127979
7,0.526003886,0.004128414
8,0.672673778,0.004712725
9,0.672744574,0.004713221
10,0.843370348,0.005073427
11,0.843547882,0.005074495
12,0.945683063,0.004219919
13,0.945782594,0.004220363
14,1.043165584,0.004985769
15,1.056035202,0.004986294
16,1.056257503,0.004987344
17,1.046795778,0.003458712
18,1.04690595,0.003459076
19,1.023078863,0.004943726
20,1.023186539,0.004944247
21,0.997860774,0.004765874
22,0.997965796,0.004766375
23,0.956557722,0.005986299
24,0.956658396,0.005986929
25,0.929610183,0.004271953
26,0.92980587,0.004272852
27,0.89955126,0.005128478
28,0.899645935,0.005129018
29,0.847012077,0.003373313
30,0.847101223,0.003373668
31,0.812116079,0.004951537
32,0.812201552,0.004952058
33,0.761129413,0.004096631
34,0.761209519,0.004097062
35,0.72131433,0.004142776
36,0.72146617,0.004143648
37,0.684753209,0.003962896
38,0.684825277,0.003963313
39,0.628902469,0.003602693
40,0.628968659,0.003603072
41,0.589092085,0.004280954
42,0.589154085,0.004281404
43,0.533191736,0.004056478
44,0.533247852,0.004056905
45,0.501336077,0.004148448
46,0.501388841,0.004148885
47,0.450192381,0.004193258
48,0.4358244,0.00405904
49,0.435870269,0.004059467
50,0.400713342,0.003924201
51,0.400755515,0.003924614
52,0.354323743,0.004061176
53,0.354361035,0.004061604
54,0.327149245,0.004468436
55,0.327218111,0.004469377
56,0.29999486,0.004289071
57,0.300026434,0.004289523
58,0.258361004,0.004516063
59,0.25841539,0.004517013
60,0.237587501,0.004562778
61,0.237612506,0.004563258
62,0.202336861,0.004201209
63,0.202358156,0.004201652
64,0.183139771,0.004202536
65,0.183159046,0.004202978
66,0.15444131,0.00456614
67,0.154457565,0.004566621
68,0.138737396,0.004249779
69,0.138766601,0.004250674
70,0.125449208,0.004387302
71,0.125462412,0.004387763
72,0.102179875,0.004116945
73,0.102201384,0.004117811
74,0.090319525,0.004480208
75,0.090329031,0.00448068
76,0.075067778,0.004164633
77,0.07508358,0.00416551
78,0.065926132,0.00402934
79,0.057088382,0.003984223
80,0.05709439,0.003984643
81,0.050184005,0.004302634
82,0.050194569,0.00430354
83,0.043120376,0.00385105
84,0.043124914,0.003851455
85,0.033956384,0.004531774
86,0.033963532,0.004532728
87,0.030425505,0.004895921
88,0.030428707,0.004896437
89,0.02399128,0.004851354
90,0.023993805,0.004851864
91,0.021099657,0.004944111
92,0.021101878,0.004944631
93,0.016029433,0.004309432
94,0.01603112,0.004309885
95,0.014147535,0.004946193
96,0.014150513,0.004947234
97,0.011605275,0.004993401
98,0.011606496,0.004993927
99,0.00986655,0.004721943
100,0.009868627,0.004722937
101,0.008547251,0.004904688
102,0.00854815,0.004905205
103,0.006355314,0.004815788
104,0.006355983,0.004816295
105,0.006922064,0.005589832
106,0.006922792,0.00559042
107,0.005648548,0.005045415
108,0.005649142,0.005045946
109,0.005230037,0.00495505
110,0.005231138,0.004956093
111,0.004928118,0.004820859
112,0.004928636,0.004821367
113,0.004980838,0.005003396
114,0.004981362,0.005003922
115,0.004368487,0.004458365
116,0.004368946,0.004458834
117,0.004728143,0.004504794
118,0.00472864,0.004505268
119,0.00401313,0.004551371
120,0.004013975,0.004552329
121,0.004934345,0.004917092
122,0.004934865,0.00491761
123,0.004731627,0.005237266
124,0.004732125,0.005237817
125,0.004579446,0.00491968
126,0.004579928,0.004920198
127,0.004374928,0.004874896
128,0.004375388,0.004875409
129,0.004785785,0.005469415
130,0.004786289,0.005469991
131,0.004019471,0.004787207
132,0.004019894,0.004787711
133,0.004891427,0.005381444
134,0.004892457,0.005382577
135,0.004789312,0.005109369
136,0.004789816,0.005109907
137,0.004072653,0.004516186
138,0.004073511,0.004517137
139,0.002690009,0.003649248
140,0.002690292,0.003649632
141,0.004484877,0.005021331
142,0.004485349,0.00502186
143,0.004384146,0.004931084
144,0.004384607,0.004931603
145,0.003922878,0.004658002
146,0.003923291,0.004658492
147,0.003923704,0.004613478
148,0.00392453,0.004614449
149,0.004079088,0.004888768
150,0.004079517,0.004889283
151,0.00433799,0.005073636
152,0.004338903,0.005074704
153,0.003516606,0.00402214
154,0.003516976,0.004022563
155,0.004186015,0.005122291
156,0.004186456,0.00512283
157,0.003569784,0.004298811
158,0.00357016,0.004299263
159,0.003365021,0.004209137
160,0.003365375,0.00420958
161,0.003365729,0.004117987
162,0.003366437,0.004118854
163,0.004292828,0.004806896
164,0.00429328,0.004807402
165,0.002698799,0.003707215
166,0.002699367,0.003707995
167,0.003625037,0.004167512
168,0.003625419,0.004167951
169,0.003677854,0.004305149
170,0.003678241,0.004305602
171,0.004349419,0.004536193
172,0.004349876,0.00453667
173,0.004452869,0.004629041
174,0.004453337,0.004629528
175,0.004196601,0.004584059
176,0.004197485,0.004585024
177,0.003939012,0.004218894
178,0.003939427,0.004219338
179,0.003734621,0.004219782
180,0.003735014,0.004220226
181,0.003683664,0.004818039
